RA,DEC,F336W-F475W_RAW,F475W-F814W_RAW,F475W_RAW,F336W-F475W,F475W-F814W,F475W,A(F475W),Z
10.822895513,41.2731764787,-0.778,-0.052,22.301,-0.900453073798,-0.219480874207,-2.37355814004,0.274558735132,nan
10.8290109023,41.2779290189,-0.515999,0.324999,22.508,-0.916822947165,-0.223213487835,-2.79070933955,0.898708759715,nan
10.8072215136,41.2630679827,-0.622,0.237,22.39,-0.966995550743,-0.234855744305,-2.78353381695,0.773533206597,nan
10.7887903804,41.2611583728,-0.687,0.114,22.336,-0.936937417448,-0.227841960063,-2.62439673864,0.560397181144,nan
10.8192521276,41.2818826765,-0.716,0.252001,22.739,-1.09504982959,-0.266431115173,-2.51088807938,0.849888399817,nan
10.8051387244,41.2591433267,-0.678999,0.233,22.46,-1.03261965459,-0.250651838587,-2.73287245688,0.79287154135,nan
10.8295621115,41.276801996,-0.300001,0.754002,22.943,-1.03497600106,-0.251233051979,-3.1049248941,1.64792568756,nan
10.8130256587,41.2699022164,-0.429001,0.545,23.646,-1.00598890589,-0.244153985031,-2.04769527405,1.2936951825,0.016393034595
10.8010546408,41.264894726,-1.017,0.00600052,22.475,-1.24729400085,-0.308975309711,-2.44135343576,0.51635381723,nan
10.7993794869,41.2581915324,-0.765001,0.073,22.412,-0.994943796636,-0.241495392817,-2.50356548656,0.515566142689,nan
10.8321113316,41.2770918384,-0.445,0.198,22.598,-0.72123113892,-0.179805384113,-2.42135344091,0.619353013667,nan
10.8015392424,41.2638828507,-0.865999,-0.00799942,22.653,-1.04580117194,-0.253916885595,-2.15014350802,0.403143385949,nan
10.798539379,41.2631184353,-0.588999,0.212999,22.567,-0.906153603454,-0.220777412694,-2.54411000157,0.711109436993,nan
10.8253106423,41.2751533447,-0.834,0.0550003,22.545,-1.06302002346,-0.258233860069,-2.36849855525,0.513498631548,nan
10.7697162111,41.2798368457,-0.973,-0.235001,23.188,-0.974123403885,-0.236537688804,-1.2145200754,0.00251980074208,0.0170129142103
10.8151203281,41.2607341661,-0.720999,0.177,22.602,-1.03390755782,-0.25096938069,-2.49958994088,0.701589223716,nan
10.8055635426,41.2552627051,-0.588999,0.757,23.143,-1.40702504353,-0.361825169244,-3.09113992263,1.83413957168,nan
10.8184498765,41.2746225838,-0.183001,0.604,22.441,-0.76272127991,-0.18889146978,-3.25882224695,1.29982223169,nan
10.8227880129,41.2772368209,-0.575998,0.585999,22.991,-1.22562942352,-0.302510392019,-2.86557278996,1.45657201176,nan
10.7951816286,41.257373714,-0.458,0.625999,22.921,-1.11415431016,-0.271431081834,-2.95019806731,1.47119759429,nan
10.8062653739,41.2621311881,-0.614,0.538,22.78,-1.22933911089,-0.303606759059,-2.99968270003,1.37968338667,nan
10.8054808765,41.2815293865,-0.275,0.829,23.302,-1.07149905892,-0.260382169668,-2.88387313896,1.78587318474,nan
10.8020192682,41.2575163622,-0.635,0.239,22.923,-0.984486665686,-0.238996824074,-2.26060154055,0.783601876243,nan
10.8115073166,41.2835312664,-0.157,1.025,23.622,-1.10267818382,-0.268417295014,-2.89835585537,2.12035559598,nan
10.8219660058,41.2839993554,-0.414999,0.886,23.498,-1.30088944348,-0.325644189347,-2.88830223316,1.98630142445,nan
10.8259651471,41.2789888979,-0.551001,0.111,22.715,-0.771705138783,-0.190860413519,-2.17985308439,0.494853236974,nan
10.7913983025,41.279028969,-0.142,0.493,22.801,-0.617099188757,-0.15679903706,-2.66424377799,1.06524437308,nan
10.8147817395,41.2712848922,-0.195,1.399,23.906,-1.51211708601,-0.402438416513,-3.44717786982,2.95317800715,nan
10.8086645886,41.253727674,-1.064,0.0229988,22.8,-1.32451980825,-0.333318646814,-2.18412774102,0.584126978079,nan
10.8057288834,41.2559723388,-0.438,0.085001,22.68,-0.614339021807,-0.156180557156,-2.11537928331,0.395379588488,0.0243328587265
10.8071328093,41.2874436344,-0.743999,0.0979996,22.758,-0.991642223776,-0.240704626732,-2.19725336588,0.555252786042,nan
10.7980992822,41.2590788427,-0.684999,0.0759983,23.092,-0.901154920714,-0.219640320208,-1.79265443208,0.484653486036,0.0187635980783
10.8098044176,41.2737815527,-0.634001,0.110001,22.753,-0.869851142566,-0.212575000107,-2.17581221676,0.528812476161,nan
10.8036128553,41.263769638,-0.576,0.682999,23.053,-1.31736257692,-0.330972288085,-3.00924795487,1.66224745133,nan
